Date,Visitor,G,Home,G,,Att.,LOG,Notes
1994-02-24,St. Louis Blues,0,Quebec Nordiques,6,,,,
1994-02-25,Chicago Blackhawks,3,Buffalo Sabres,1,,,,
1994-02-25,Los Angeles Kings,5,Edmonton Oilers,5,OT,,,
1994-02-25,Philadelphia Flyers,0,New York Islanders,2,,,,
1994-02-25,Boston Bruins,7,Winnipeg Jets,6,,,,
1994-02-26,Los Angeles Kings,2,Calgary Flames,4,,,,
1994-02-26,New York Rangers,1,Dallas Stars,3,,,,
1994-02-26,San Jose Sharks,0,Detroit Red Wings,2,,,,
1994-02-26,New Jersey Devils,1,Hartford Whalers,1,OT,,,
1994-02-26,St. Louis Blues,11,Ottawa Senators,1,,,,
1994-02-26,Buffalo Sabres,3,Pittsburgh Penguins,4,,,,
1994-02-26,Mighty Ducks of Anaheim,6,Quebec Nordiques,3,,,,
1994-02-26,Montreal Canadiens,3,Toronto Maple Leafs,0,,,,
1994-02-26,Tampa Bay Lightning,1,Vancouver Canucks,3,,,,
1994-02-26,Florida Panthers,2,Washington Capitals,4,,,,
1994-02-27,Boston Bruins,4,Chicago Blackhawks,0,,,,
1994-02-27,Tampa Bay Lightning,2,Edmonton Oilers,3,,,,
1994-02-27,Washington Capitals,3,Hartford Whalers,1,,,,
1994-02-27,Quebec Nordiques,2,New York Islanders,5,,,,
1994-02-28,Pittsburgh Penguins,4,Florida Panthers,3,,,,
1994-02-28,Montreal Canadiens,3,Los Angeles Kings,3,OT,,,
1994-02-28,St. Louis Blues,1,New Jersey Devils,5,,,,
1994-02-28,Philadelphia Flyers,1,New York Rangers,4,,,,
1994-02-28,Toronto Maple Leafs,4,Ottawa Senators,1,,,,
1994-02-28,San Jose Sharks,3,Winnipeg Jets,3,OT,,,
1994-03-01,Calgary Flames,2,Detroit Red Wings,5,,,,
1994-03-01,St. Louis Blues,2,New York Islanders,4,,,,
1994-03-01,Edmonton Oilers,7,Vancouver Canucks,4,,,,
1994-03-01,Tampa Bay Lightning,4,Washington Capitals,3,,,,
1994-03-02,New Jersey Devils,3,Florida Panthers,2,,,,
1994-03-02,Los Angeles Kings,4,Hartford Whalers,1,,,,
1994-03-02,Montreal Canadiens,5,Mighty Ducks of Anaheim,2,,,,
1994-03-02,Quebec Nordiques,2,New York Rangers,5,,,,
1994-03-02,Buffalo Sabres,7,Ottawa Senators,2,,,,
1994-03-02,Dallas Stars,2,Winnipeg Jets,4,,,,
1994-03-03,Los Angeles Kings,4,Boston Bruins,6,,,,
1994-03-03,Calgary Flames,2,Chicago Blackhawks,4,,,,
1994-03-03,Edmonton Oilers,2,San Jose Sharks,4,,,,
1994-03-03,Vancouver Canucks,4,St. Louis Blues,0,,,,
1994-03-03,New Jersey Devils,5,Tampa Bay Lightning,4,OT,,,
1994-03-04,Pittsburgh Penguins,1,Buffalo Sabres,2,,,,
1994-03-04,Vancouver Canucks,4,Dallas Stars,1,,,,
1994-03-04,Toronto Maple Leafs,6,Detroit Red Wings,5,OT,,,
1994-03-04,Hartford Whalers,2,Florida Panthers,1,,,,
1994-03-04,Edmonton Oilers,1,Mighty Ducks of Anaheim,4,,,,
1994-03-04,New York Islanders,3,New York Rangers,3,OT,,,
1994-03-04,Winnipeg Jets,6,Ottawa Senators,1,,,,at Minneapolis MN
1994-03-04,Philadelphia Flyers,3,Washington Capitals,3,OT,,,
1994-03-05,Ottawa Senators,1,Boston Bruins,6,,,,
1994-03-05,Calgary Flames,3,New Jersey Devils,6,,,,
1994-03-05,New York Rangers,5,New York Islanders,4,,,,
1994-03-05,Toronto Maple Leafs,1,Quebec Nordiques,4,,,,
1994-03-05,Hartford Whalers,2,Tampa Bay Lightning,4,,,,
1994-03-06,Los Angeles Kings,3,Chicago Blackhawks,3,OT,,,
1994-03-06,Montreal Canadiens,2,Dallas Stars,2,OT,,,
1994-03-06,Buffalo Sabres,3,Detroit Red Wings,2,,,,
1994-03-06,Mighty Ducks of Anaheim,0,San Jose Sharks,6,,,,
1994-03-06,Philadelphia Flyers,3,Tampa Bay Lightning,1,,,,
1994-03-06,Pittsburgh Penguins,5,Winnipeg Jets,3,,,,
1994-03-06,Calgary Flames,4,Washington Capitals,4,OT,,,
1994-03-07,Washington Capitals,3,Boston Bruins,6,,,,
1994-03-07,Quebec Nordiques,2,New Jersey Devils,2,OT,,,
1994-03-07,Detroit Red Wings,6,New York Rangers,3,,,,
1994-03-07,St. Louis Blues,3,Toronto Maple Leafs,2,,,,
1994-03-07,Florida Panthers,2,Vancouver Canucks,1,,,,
1994-03-07,New York Islanders,7,Winnipeg Jets,2,,,,
1994-03-08,Mighty Ducks of Anaheim,0,Chicago Blackhawks,3,,,,at Phoenix AZ
1994-03-08,Dallas Stars,4,Philadelphia Flyers,3,OT,,,
1994-03-08,Boston Bruins,3,Pittsburgh Penguins,7,,,,
1994-03-08,Ottawa Senators,2,Quebec Nordiques,5,,,,
1994-03-08,Buffalo Sabres,4,San Jose Sharks,4,OT,,,
1994-03-09,Detroit Red Wings,5,Calgary Flames,1,,,,
1994-03-09,Florida Panthers,5,Edmonton Oilers,3,,,,
1994-03-09,Tampa Bay Lightning,1,Hartford Whalers,4,,,,
1994-03-09,Chicago Blackhawks,4,Los Angeles Kings,0,,,,
1994-03-09,Buffalo Sabres,3,Mighty Ducks of Anaheim,0,,,,
1994-03-09,St. Louis Blues,2,Montreal Canadiens,7,,,,
1994-03-09,Dallas Stars,2,Toronto Maple Leafs,4,,,,
1994-03-09,New York Islanders,4,Vancouver Canucks,5,,,,
1994-03-09,New York Rangers,7,Washington Capitals,5,,,,at Halifax NS
1994-03-10,New York Rangers,2,Boston Bruins,2,OT,,,
1994-03-10,Hartford Whalers,0,New Jersey Devils,4,,,,
1994-03-10,Ottawa Senators,2,Philadelphia Flyers,8,,,,
1994-03-10,Toronto Maple Leafs,4,Pittsburgh Penguins,2,,,,
1994-03-10,Montreal Canadiens,4,Quebec Nordiques,4,OT,,,
1994-03-10,New York Islanders,3,San Jose Sharks,4,,,,
1994-03-11,Florida Panthers,2,Calgary Flames,4,,,,
1994-03-11,Detroit Red Wings,2,Edmonton Oilers,4,,,,
1994-03-11,Chicago Blackhawks,3,Mighty Ducks of Anaheim,2,,,,
1994-03-11,Vancouver Canucks,8,Winnipeg Jets,4,,,,
1994-03-12,San Jose Sharks,0,Calgary Flames,2,,,,
1994-03-12,Dallas Stars,2,Hartford Whalers,2,OT,,,
1994-03-12,Buffalo Sabres,5,Los Angeles Kings,3,,,,
1994-03-12,Philadelphia Flyers,4,Montreal Canadiens,4,OT,,,
1994-03-12,Boston Bruins,1,New Jersey Devils,2,,,,
1994-03-12,New York Rangers,2,Pittsburgh Penguins,6,,,,
1994-03-12,New York Islanders,5,St. Louis Blues,5,OT,,,
1994-03-12,Winnipeg Jets,1,Toronto Maple Leafs,3,,,,
1994-03-12,Quebec Nordiques,4,Washington Capitals,3,,,,
1994-03-13,Vancouver Canucks,2,Chicago Blackhawks,5,,,,
1994-03-13,Pittsburgh Penguins,3,Hartford Whalers,2,,,,
1994-03-13,Ottawa Senators,1,Mighty Ducks of Anaheim,5,,,,
1994-03-13,Dallas Stars,0,New Jersey Devils,4,,,,
1994-03-13,Tampa Bay Lightning,5,Philadelphia Flyers,5,OT,,,
1994-03-14,New York Rangers,1,Florida Panthers,2,,,,
1994-03-14,Boston Bruins,4,Montreal Canadiens,5,,,,
1994-03-14,Chicago Blackhawks,1,Quebec Nordiques,5,,,,
1994-03-15,Vancouver Canucks,2,Detroit Red Wings,5,,,,
1994-03-15,Ottawa Senators,0,Los Angeles Kings,7,,,,
1994-03-15,New Jersey Devils,2,New York Islanders,3,,,,
1994-03-15,Washington Capitals,5,Pittsburgh Penguins,4,OT,,,
1994-03-15,Calgary Flames,7,Tampa Bay Lightning,3,,,,
1994-03-16,Calgary Flames,1,Florida Panthers,2,,,,
1994-03-16,Los Angeles Kings,2,Mighty Ducks of Anaheim,5,,,,
1994-03-16,Chicago Blackhawks,3,Montreal Canadiens,5,,,,
1994-03-16,Hartford Whalers,0,New York Rangers,4,,,,
1994-03-16,Edmonton Oilers,4,Tampa Bay Lightning,4,OT,,,
1994-03-16,Vancouver Canucks,4,Toronto Maple Leafs,1,,,,
1994-03-16,St. Louis Blues,0,Winnipeg Jets,4,,,,
1994-03-17,Pittsburgh Penguins,4,Boston Bruins,2,,,,
1994-03-17,New Jersey Devils,6,Buffalo Sabres,1,,,,
1994-03-17,New York Islanders,3,Detroit Red Wings,1,,,,
1994-03-17,Hartford Whalers,1,Quebec Nordiques,4,,,,
1994-03-17,Ottawa Senators,2,San Jose Sharks,1,,,,
1994-03-18,Washington Capitals,2,Dallas Stars,6,,,,
1994-03-18,Edmonton Oilers,4,Florida Panthers,4,OT,,,
1994-03-18,Buffalo Sabres,2,New York Islanders,2,OT,,,at Minneapolis MN
1994-03-18,Chicago Blackhawks,7,New York Rangers,3,,,,
1994-03-18,St. Louis Blues,2,Toronto Maple Leafs,4,,,,
1994-03-19,New Jersey Devils,8,Boston Bruins,6,,,,
1994-03-19,San Jose Sharks,1,Los Angeles Kings,2,,,,
1994-03-19,Quebec Nordiques,2,Montreal Canadiens,5,,,,
1994-03-19,Hartford Whalers,5,Philadelphia Flyers,3,,,,
1994-03-19,Vancouver Canucks,4,Pittsburgh Penguins,5,,,,
1994-03-19,Detroit Red Wings,2,Winnipeg Jets,4,,,,
1994-03-20,Ottawa Senators,2,Buffalo Sabres,6,,,,
1994-03-20,St. Louis Blues,4,Chicago Blackhawks,3,OT,,,
1994-03-20,Vancouver Canucks,1,Dallas Stars,2,OT,,,
1994-03-20,Philadelphia Flyers,3,Florida Panthers,5,,,,
1994-03-20,Pittsburgh Penguins,2,New York Islanders,1,,,,
1994-03-20,Edmonton Oilers,5,Quebec Nordiques,3,,,,
1994-03-20,Los Angeles Kings,6,San Jose Sharks,6,OT,,,
1994-03-20,Washington Capitals,3,Tampa Bay Lightning,0,,,,at Orlando FL
1994-03-20,Calgary Flames,6,Toronto Maple Leafs,3,,,,
1994-03-21,New Jersey Devils,3,Florida Panthers,3,OT,,,
1994-03-22,New York Rangers,4,Calgary Flames,4,OT,,,
1994-03-22,Mighty Ducks of Anaheim,3,Dallas Stars,4,,,,
1994-03-22,Chicago Blackhawks,1,Detroit Red Wings,3,,,,
1994-03-22,Tampa Bay Lightning,4,New York Islanders,5,OT,,,
1994-03-22,San Jose Sharks,2,Pittsburgh Penguins,2,OT,,,
1994-03-22,Boston Bruins,3,Quebec Nordiques,5,,,,
1994-03-22,Philadelphia Flyers,6,St. Louis Blues,3,,,,
1994-03-22,Hartford Whalers,1,Washington Capitals,4,,,,
1994-03-23,St. Louis Blues,3,Buffalo Sabres,2,,,,
1994-03-23,New York Rangers,5,Edmonton Oilers,3,,,,
1994-03-23,Toronto Maple Leafs,1,Florida Panthers,1,OT,,,at Hamilton ON
1994-03-23,Vancouver Canucks,6,Los Angeles Kings,3,,,,
1994-03-23,Detroit Red Wings,4,Ottawa Senators,5,,,,
1994-03-23,Montreal Canadiens,1,Winnipeg Jets,3,,,,
1994-03-24,Mighty Ducks of Anaheim,3,Boston Bruins,5,,,,
1994-03-24,Montreal Canadiens,5,Chicago Blackhawks,5,OT,,,
1994-03-24,Tampa Bay Lightning,1,New Jersey Devils,2,,,,
1994-03-24,Florida Panthers,3,Philadelphia Flyers,4,,,,
1994-03-24,Ottawa Senators,1,Pittsburgh Penguins,5,,,,
1994-03-24,San Jose Sharks,2,Toronto Maple Leafs,1,,,,
1994-03-25,Hartford Whalers,3,Buffalo Sabres,6,,,,
1994-03-25,Washington Capitals,2,Detroit Red Wings,2,OT,,,
1994-03-25,Los Angeles Kings,4,Edmonton Oilers,3,OT,,,
1994-03-25,Dallas Stars,3,St. Louis Blues,5,,,,
1994-03-25,New York Rangers,5,Vancouver Canucks,2,,,,
1994-03-25,San Jose Sharks,8,Winnipeg Jets,3,,,,
1994-03-26,Montreal Canadiens,3,Boston Bruins,6,,,,
1994-03-26,Pittsburgh Penguins,3,Calgary Flames,5,,,,
1994-03-26,Mighty Ducks of Anaheim,3,Hartford Whalers,2,,,,
1994-03-26,Philadelphia Flyers,2,New Jersey Devils,7,,,,
1994-03-26,Florida Panthers,3,New York Islanders,1,,,,
1994-03-26,Quebec Nordiques,3,Toronto Maple Leafs,6,,,,
1994-03-27,New York Islanders,1,Buffalo Sabres,4,,,,
1994-03-27,Detroit Red Wings,3,Chicago Blackhawks,1,,,,
1994-03-27,Pittsburgh Penguins,3,Edmonton Oilers,5,,,,
1994-03-27,Quebec Nordiques,2,New Jersey Devils,5,,,,at Minneapolis MN
1994-03-27,Mighty Ducks of Anaheim,3,Philadelphia Flyers,2,OT,,,
1994-03-27,San Jose Sharks,4,St. Louis Blues,3,,,,
1994-03-27,Dallas Stars,2,Tampa Bay Lightning,2,OT,,,
1994-03-27,Los Angeles Kings,3,Vancouver Canucks,4,,,,
1994-03-27,New York Rangers,1,Winnipeg Jets,3,,,,
1994-03-27,Boston Bruins,6,Washington Capitals,4,,,,
1994-03-28,Dallas Stars,5,Florida Panthers,4,,,,
1994-03-28,Ottawa Senators,2,Montreal Canadiens,3,,,,
1994-03-28,Toronto Maple Leafs,2,Vancouver Canucks,3,OT,,,
1994-03-29,Hartford Whalers,2,Detroit Red Wings,6,,,,
1994-03-29,Montreal Canadiens,2,New Jersey Devils,5,,,,
1994-03-29,New York Rangers,4,Philadelphia Flyers,3,,,,
1994-03-29,Winnipeg Jets,4,San Jose Sharks,9,,,,
1994-03-29,New York Islanders,2,Washington Capitals,2,OT,,,
1994-03-30,Tampa Bay Lightning,3,Buffalo Sabres,2,OT,,,
1994-03-30,St. Louis Blues,3,Florida Panthers,1,,,,
1994-03-30,Chicago Blackhawks,2,Hartford Whalers,3,OT,,,
1994-03-30,Mighty Ducks of Anaheim,5,Los Angeles Kings,2,,,,
1994-03-30,Quebec Nordiques,4,Ottawa Senators,6,,,,
1994-03-30,Pittsburgh Penguins,3,Vancouver Canucks,1,,,,
1994-03-31,Dallas Stars,2,Boston Bruins,2,OT,,,
1994-03-31,Washington Capitals,6,Chicago Blackhawks,3,,,,
1994-03-31,Quebec Nordiques,4,Detroit Red Wings,2,,,,
1994-03-31,Edmonton Oilers,3,Mighty Ducks of Anaheim,2,OT,,,
1994-03-31,Calgary Flames,4,Philadelphia Flyers,1,,,,
1994-03-31,Toronto Maple Leafs,3,San Jose Sharks,5,,,,
1994-04-01,Boston Bruins,0,Buffalo Sabres,5,,,,
1994-04-01,Montreal Canadiens,2,New York Islanders,5,,,,
1994-04-01,Dallas Stars,0,New York Rangers,3,,,,
1994-04-01,St. Louis Blues,3,Tampa Bay Lightning,4,,,,
1994-04-01,Winnipeg Jets,1,Vancouver Canucks,5,,,,
1994-04-01,New Jersey Devils,1,Washington Capitals,2,,,,
1994-04-02,Calgary Flames,3,Detroit Red Wings,3,OT,,,
1994-04-02,Ottawa Senators,2,Florida Panthers,2,OT,,,
1994-04-02,Philadelphia Flyers,6,Hartford Whalers,5,,,,
1994-04-02,Edmonton Oilers,5,Los Angeles Kings,3,,,,
1994-04-02,Toronto Maple Leafs,1,Mighty Ducks of Anaheim,3,,,,
1994-04-02,New York Islanders,3,Montreal Canadiens,3,OT,,,
1994-04-02,New York Rangers,4,New Jersey Devils,2,,,,
1994-04-02,Buffalo Sabres,6,Quebec Nordiques,2,,,,
1994-04-02,Vancouver Canucks,4,San Jose Sharks,7,,,,
1994-04-03,Calgary Flames,1,Chicago Blackhawks,2,,,,
1994-04-03,St. Louis Blues,3,Detroit Red Wings,3,OT,,,
1994-04-03,Edmonton Oilers,1,Los Angeles Kings,6,,,,at Sacramento CA
1994-04-03,Boston Bruins,2,Pittsburgh Penguins,6,,,,at Cleveland OH
1994-04-03,Dallas Stars,6,Washington Capitals,3,,,,
1994-04-04,Florida Panthers,2,New York Rangers,3,,,,
1994-04-04,Tampa Bay Lightning,1,Pittsburgh Penguins,2,,,,
1994-04-04,Buffalo Sabres,4,Quebec Nordiques,6,,,,
1994-04-04,Philadelphia Flyers,2,Winnipeg Jets,2,OT,,,
1994-04-05,Toronto Maple Leafs,6,Dallas Stars,4,,,,
1994-04-05,San Jose Sharks,2,Los Angeles Kings,1,,,,
1994-04-05,Florida Panthers,3,Quebec Nordiques,3,OT,,,
1994-04-05,Chicago Blackhawks,1,St. Louis Blues,5,,,,
1994-04-05,Detroit Red Wings,8,Vancouver Canucks,3,,,,
1994-04-05,New York Islanders,4,Washington Capitals,3,OT,,,
1994-04-06,Mighty Ducks of Anaheim,2,Calgary Flames,4,,,,
1994-04-06,New York Islanders,3,Hartford Whalers,3,OT,,,
1994-04-06,Tampa Bay Lightning,3,Montreal Canadiens,1,,,,
1994-04-06,Washington Capitals,5,Ottawa Senators,6,,,,
1994-04-06,New Jersey Devils,1,Pittsburgh Penguins,3,,,,
1994-04-06,Edmonton Oilers,4,Winnipeg Jets,3,,,,
1994-04-07,Ottawa Senators,4,Boston Bruins,5,,,,
1994-04-07,Florida Panthers,3,Philadelphia Flyers,3,OT,,,
1994-04-07,Hartford Whalers,2,Quebec Nordiques,5,,,,
1994-04-07,Los Angeles Kings,2,St. Louis Blues,6,,,,
1994-04-07,San Jose Sharks,2,Vancouver Canucks,3,,,,
1994-04-08,Montreal Canadiens,0,Buffalo Sabres,1,,,,
1994-04-08,San Jose Sharks,2,Calgary Flames,5,,,,
1994-04-08,St. Louis Blues,1,Chicago Blackhawks,6,,,,
1994-04-08,Mighty Ducks of Anaheim,3,Edmonton Oilers,1,,,,
1994-04-08,Pittsburgh Penguins,2,New Jersey Devils,7,,,,
1994-04-08,Dallas Stars,1,New York Islanders,5,,,,
1994-04-08,Toronto Maple Leafs,3,New York Rangers,5,,,,
1994-04-09,Tampa Bay Lightning,3,Boston Bruins,0,,,,
1994-04-09,Detroit Red Wings,2,Calgary Flames,4,,,,
1994-04-09,Pittsburgh Penguins,1,Montreal Canadiens,9,,,,
1994-04-09,Mighty Ducks of Anaheim,3,Vancouver Canucks,1,,,,
1994-04-09,Los Angeles Kings,3,Winnipeg Jets,4,,,,
1994-04-09,Ottawa Senators,4,Washington Capitals,8,,,,
1994-04-10,Quebec Nordiques,1,Buffalo Sabres,4,,,,
1994-04-10,Los Angeles Kings,1,Chicago Blackhawks,2,,,,
1994-04-10,Detroit Red Wings,3,Edmonton Oilers,4,,,,
1994-04-10,New Jersey Devils,2,Florida Panthers,2,OT,,,
1994-04-10,Tampa Bay Lightning,4,Hartford Whalers,6,,,,
1994-04-10,New York Rangers,4,New York Islanders,5,,,,
1994-04-10,Boston Bruins,4,Philadelphia Flyers,3,,,,
1994-04-10,Vancouver Canucks,1,San Jose Sharks,3,,,,
1994-04-10,Dallas Stars,2,St. Louis Blues,2,OT,,,
1994-04-10,Winnipeg Jets,0,Toronto Maple Leafs,7,,,,
1994-04-11,Montreal Canadiens,3,Hartford Whalers,1,,,,
1994-04-11,Calgary Flames,3,Mighty Ducks of Anaheim,0,,,,
1994-04-11,Pittsburgh Penguins,4,Ottawa Senators,0,,,,
1994-04-12,St. Louis Blues,5,Dallas Stars,9,,,,
1994-04-12,Quebec Nordiques,5,Florida Panthers,2,,,,
1994-04-12,Buffalo Sabres,2,New York Rangers,3,,,,
1994-04-12,New Jersey Devils,2,Philadelphia Flyers,4,,,,
1994-04-12,Chicago Blackhawks,4,Toronto Maple Leafs,3,,,,
1994-04-12,Winnipeg Jets,3,Washington Capitals,4,,,,
1994-04-13,Montreal Canadiens,0,Detroit Red Wings,9,,,,
1994-04-13,Calgary Flames,4,Los Angeles Kings,6,,,,
1994-04-13,Vancouver Canucks,2,Mighty Ducks of Anaheim,1,,,,
1994-04-13,Boston Bruins,8,Ottawa Senators,0,,,,
1994-04-13,Edmonton Oilers,2,San Jose Sharks,2,OT,,,
1994-04-13,New York Islanders,2,Tampa Bay Lightning,0,,,,
1994-04-14,Hartford Whalers,3,Boston Bruins,2,,,,
1994-04-14,Washington Capitals,3,Buffalo Sabres,2,,,,
1994-04-14,Toronto Maple Leafs,6,Chicago Blackhawks,4,,,,
1994-04-14,Detroit Red Wings,3,Dallas Stars,4,,,,
1994-04-14,New York Islanders,1,Florida Panthers,4,,,,
1994-04-14,Edmonton Oilers,2,Los Angeles Kings,2,OT,,,
1994-04-14,Ottawa Senators,1,New Jersey Devils,4,,,,
1994-04-14,Philadelphia Flyers,2,New York Rangers,2,OT,,,
1994-04-14,Winnipeg Jets,1,St. Louis Blues,3,,,,
1994-04-14,Quebec Nordiques,2,Tampa Bay Lightning,5,,,,
